COUNTRY_CODE,COUNTRY,avg_tavg,std_tavg,avg_prcp,std_prcp,std_tavg_scaled,std_prcp_scaled,temp_index,prcp_index,climate_index
CH,China,11.30974823743213,0.36717204055033237,3.22789715088393,2.3520820097969377,0.7792845695036923,0.6525010022905636,0.44221105527638194,0.33668341708542715,0.38944723618090454
KT,Christmas Island [Australia],24.800432216752498,0.10303475911845479,5.2945765203671815,4.774334305927652,0.21868058848706093,1.3244682400155616,0.06532663316582915,0.6884422110552764,0.37688442211055273
CK,Cocos (Keeling) Islands [Australia],27.071570762574453,0.12167684023909663,3.4897296466973886,5.604652753647677,0.25824647193226524,1.5548103867183611,0.08542713567839195,0.7587939698492462,0.4221105527638191
CO,Colombia,24.646144766987813,0.2420517663676413,5.767541092041423,2.2995105233082374,0.513729766211756,0.6379169242342277,0.2864321608040201,0.3316582914572864,0.30904522613065327
CF,Congo (Brazzaville),25.80817167627153,0.14394429982353563,7.7058057705611125,3.1098011337819096,0.3055068451082606,0.862703064036534,0.10050251256281408,0.457286432160804,0.27889447236180903
CG,Congo (Kinshasa),25.873254984012245,0.27836090127320856,10.294657906347505,8.962232666436398,0.590792138721184,2.486250808115251,0.3316582914572864,0.8844221105527639,0.6080402010050252
CW,Cook Islands [New Zealand],24.74925850179108,0.26956432620116627,6.073667982506063,6.530269747544254,0.5721223205949214,1.811589705525717,0.32160804020100503,0.8040201005025126,0.5628140703517588
CS,Costa Rica,25.93910973699575,0.1987826713199427,10.177701812063052,4.053999419344988,0.42189560025369227,1.1246370974268618,0.20603015075376885,0.5979899497487438,0.4020100502512563
IV,Cote D'Ivoire,26.721805097484047,0.14453665514940442,7.583690091035752,2.8666732583593633,0.30676405784270794,0.7952559334784959,0.10552763819095477,0.4271356783919598,0.2663316582914573
HR,Croatia,14.272062197784004,0.7963064105139065,2.9485035361136513,1.1671254216301967,1.6900777558668563,0.32377719154369405,0.8341708542713567,0.1708542713567839,0.5025125628140703
CU,Cuba,26.2451538265341,0.4602469005694565,4.780254203068794,2.790932635081437,0.9768263052875662,0.7742444073509586,0.5678391959798995,0.3969849246231156,0.4824120603015075
UC,Curacao,28.010599561319452,0.18446455068906772,2.617798402350829,2.0477638909545695,0.39150687442585025,0.5680788279221762,0.1708542713567839,0.2814070351758794,0.22613065326633164
CY,Cyprus,20.331326452093,0.5328843050060464,1.254066610527885,1.6427764633061441,1.1309916615641264,0.4557295555094815,0.6331658291457286,0.22613065326633167,0.4296482412060301
EZ,Czech Republic,8.132104094073936,0.7512248841345711,2.068679547742228,1.7062155957780956,1.594396892409951,0.47332847312799,0.8090452261306532,0.24120603015075376,0.5251256281407035
